ID;PP global;SE global;N global;f global;Scala Diagnose;PP Diagnose;SE Diagnose;N Diagnose;f Diagnose;alle Skalen;alle PP
P000074;-2,38;0,22;8;0,25;Sim/A/A05;-2,48;0,28;3;0,33;Sim/A/A05 Sim/A/A06 Sim/B/B01 ;-2,48 (0,28 | 3 | 0,33) -2,38 (21,93 | 1 | 0) -2,38 (230,34 | 1 | 0) 
P000075;-3,25;0,32;10;0,2;Sim/A/A02;-3,29;0,77;3;0
P000075;-3,25;0,32;10;0,2;Sim/A/A05;-3,31;0,61;3;0;Sim/A/A02 Sim/A/A05 Sim/A/A06 Sim/B/B01 ;-3,29 (0,77 | 3 | 0) -3,31 (0,61 | 3 | 0) -3,25 (246,42 | 1 | 0) -3,25 (3066,76 | 1 | 0) 
P000076;-1,15;0,17;7;0,29;;;;;;Sim/A/A06 Sim/B/B01 Sim/C/C01 ;-1,19 (0,41 | 2 | 0) -1,15 (6,04 | 1 | 0) -1,19 (0,45 | 1 | 0) 
P000077;3,02;0,18;9;0,67;;;;;;Sim/C/C07 Sim/C/C10 ;2,98 (0,43 | 1 | 0) 2,96 (0,33 | 2 | 0) 
P000078;-6,77;1,3;25;0;Sim/A/A01;-5,72;1,14;8;0
P000078;-6,77;1,3;25;0;Sim/A/A03;-6,23;1,28;9;0
P000078;-6,77;1,3;25;0;Sim/A/A05;-3,6;1,09;4;0;;
P000079;2,37;0,3;7;0,71;Sim/B/B02;2,42;0,34;3;0,67;Sim/B/B04 ;2,34 (0,7 | 1 | 0) 
P000080;0,4;0,19;7;0,29;Sim/B/B03;0,81;0,26;3;0,33;Sim/C/C03 ;0,32 (0,32 | 2 | 0) 
P000081;0,33;0,23;4;0,5;;;;;;Sim/B/B03 Sim/C/C03 ;0,3 (0,58 | 1 | 0) 0,27 (0,45 | 1 | 0) 
P000082;2,85;0,22;8;0,63;;;;;;Sim/C/C10 ;2,81 (0,45 | 2 | 0) 
P000083;-1,31;0,21;6;0,17;;;;;;Sim/A/A04 Sim/A/A06 Sim/B/B01 ;-1,39 (0,34 | 2 | 0) -1,34 (0,59 | 2 | 0) -1,32 (9,76 | 1 | 0) 
