ID;PP global;SE global;N global;f global;Scala Diagnose;PP Diagnose;SE Diagnose;N Diagnose;f Diagnose;alle Skalen;alle PP
P000641;-2,39;0,14;30;0,3;Sim/A/A05;-2,02;0,22;10;0,7;Sim/B/B01 Sim/A/A02 ;-2,4 (1,11 | 5 | 0) -2,87 (0,28 | 10 | 0,1) 
P000642;3,45;0,09;61;0,48;Sim/C/C10;3,66;0,19;5;0,6;Sim/C/C06 Sim/C/C05 Sim/B/B04 Sim/C/C08 Sim/C/C09 Sim/B/B02 Sim/B/B03 Sim/B/B01 ;3,42 (0,29 | 4 | 0) 3,41 (0,26 | 3 | 0) 3,4 (0,24 | 5 | 0,6) 3,32 (0,61 | 6 | 0,17) 3,3 (0,68 | 7 | 0,14) 2,98 (0,51 | 6 | 0,67) 2,23 (0,89 | 5 | 0,8) 1,53 (0,34 | 10 | 0,8) 
P000643;-5,49;0,94;22;0;;;;;;Sim/A/A02 Sim/A/A01 Sim/A/A06 Sim/B/B01 Sim/B/B03 ;-5,64 (8,39 | 5 | 0) -5,82 (1,6 | 5 | 0) -5,95 (5,09 | 5 | 0) -6,53 (8,61 | 5 | 0) -6,81 (12,27 | 1 | 0) 
P000644;-0,44;0,08;65;0,51;Sim/C/C03;-0,04;0,27;10;0,4;Sim/C/C01 Sim/A/A02 Sim/B/B01 Sim/A/A07 ;-0,57 (0,22 | 4 | 0,5) -0,64 (0,24 | 7 | 0,57) -0,65 (0,26 | 10 | 0,5) -0,65 (0,2 | 4 | 0,5) 
P000645;3,75;0,09;72;0,56;Sim/C/C05;4,28;0,34;10;0,7;Sim/C/C07 Sim/C/C10 Sim/C/C08 Sim/B/B02 Sim/B/B01 ;3,55 (0,23 | 4 | 0,25) 3,49 (0,19 | 5 | 0,4) 3,39 (0,52 | 9 | 0,11) 3,3 (0,83 | 5 | 0,8) 2,86 (1,28 | 5 | 0,8) 
P000646;-2,98;0,18;37;0,3;Sim/A/A01;-2,88;0,4;10;0,8;Sim/B/B02 Sim/B/B01 Sim/A/A02 ;-2,99 (5,08 | 1 | 0) -2,99 (2,11 | 5 | 0) -3,1 (0,39 | 10 | 0) 
P000647;0,66;0,1;58;0,62;Sim/A/A02;1,1;0,38;10;1;Sim/B/B03 Sim/B/B01 Sim/C/C02 Sim/A/A04 ;0,62 (0,23 | 5 | 0,4) 0,46 (0,3 | 10 | 0,5) 0,33 (0,28 | 10 | 0,6) 0,28 (0,24 | 7 | 0,71) 
P000648;-2,45;0,16;22;0,18;;;;;;Sim/B/B01 Sim/A/A06 Sim/A/A02 ;-2,45 (1,18 | 5 | 0) -2,46 (1,08 | 5 | 0) -2,61 (0,23 | 8 | 0,25) 
P000649;-3,84;0,15;28;0,29;Sim/A/A01;-3,79;0,24;5;0,6;Sim/A/A05 Sim/A/A02 Sim/A/A06 Sim/A/A03 ;-3,85 (2,21 | 1 | 0) -3,85 (1,65 | 5 | 0) -3,85 (2,45 | 5 | 0) -3,87 (0,2 | 7 | 0,57) 
P000650;-0,57;0,08;71;0,35;Sim/B/B03;0,6;0,24;5;0,2;Sim/C/C01 Sim/A/A04 Sim/C/C03 Sim/A/A07 ;-0,72 (0,2 | 6 | 0,33) -0,73 (0,23 | 6 | 0,5) -1,02 (0,53 | 7 | 0,14) -1,69 (0,98 | 7 | 0,14) 
